trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_ret,log_return_5_days,daily_open_close_change_log,daily_high_low_change_log,hidden_states
2017-08-25,399300.SZ,3795.7544,3736.2916,3795.9693,3736.2916,3734.6458,61.1086,1.6363,129940900.0,150697083.0,0.0162301975467987,0.018903632963631622,0.015789610258080344,5.6614283804989896e-05,4
2017-08-28,399300.SZ,3842.7119,3805.6567,3866.9422,3805.6567,3795.7544,46.9575,1.2371,185576325.0,236446280.8,0.0122951623284884,0.026826963052830166,0.009689776178163356,0.006285724226946954,4
2017-08-29,399300.SZ,3834.5376,3839.1779,3847.9303,3825.7597,3842.7119,-8.1743,-0.2127,128227070.0,158978683.6,-0.0021294874131712,0.021680401588934473,-0.0012094012517405162,0.0034865654477922448,0
2017-08-30,399300.SZ,3834.3005,3834.2682,3854.7062,3827.8607,3834.5376,-0.2371,-0.0062,141352857.0,166235122.0,-6.18346604746023e-05,0.020608922480223058,8.42399703593344e-06,0.005307772174660386,0
2017-08-31,399300.SZ,3822.0928,3835.8394,3840.199,3800.8861,3834.3005,-12.2077,-0.3184,132944935.0,157079216.0,-0.00318889322079308,0.023145144580848154,-0.003590163612392061,0.0047260621688032245,0
2017-09-01,399300.SZ,3830.5383,3825.3392,3843.6176,3818.1586,3822.0928,8.4455,0.221,158645511.0,182770431.9,0.0022072156147015,0.009122162648750987,0.0013581985341950542,0.003408664831534125,0
2017-09-04,399300.SZ,3845.6163,3828.5447,3847.0906,3813.5537,3830.5383,15.078,0.3936,149566320.0,175551068.2,0.00392853457955056,0.0007555348998131706,0.0044491191051463375,0.0003832981126716817,0
2017-09-05,399300.SZ,3857.0464,3845.5451,3865.2938,3841.9514,3845.6163,11.4301,0.2972,124964155.0,145779755.3,0.00296783302992765,0.005852855342912022,0.002986347788960231,0.0021359854453670835,0
2017-09-06,399300.SZ,3849.4499,3846.7471,3858.2481,3831.3835,3857.0464,-7.5965,-0.197,131398723.0,155883314.7,-0.001971454254873,0.003943235748513629,0.0007023729021273795,0.0022829653733964506,0
2017-09-07,399300.SZ,3829.8713,3851.688,3858.1617,3828.835,3849.4499,-19.5786,-0.5086,123884181.0,156113397.1,-0.00509905547924738,0.002033073490059323,-0.005680294275920872,0.00735962701866022,0
2017-09-08,399300.SZ,3825.9895,3830.0707,3843.0186,3813.9833,3829.8713,-3.8818,-0.1014,106036504.0,134958583.9,-0.00101407286105726,-0.0011882149856994317,-0.001066135918465605,0.00444102490602738,0
2017-09-11,399300.SZ,3825.6453,3828.3422,3850.7409,3817.5108,3825.9895,-0.3442,-0.009,123883997.0,154793900.7,-8.99677021255485e-05,-0.005206717267375538,-0.0007047046030876913,0.006538412412018246,0
2017-09-12,399300.SZ,3837.9341,3832.2422,3849.3885,3822.0037,3825.6453,12.2888,0.3212,144190242.0,187605312.0,0.00320706810522964,-0.004967482192073547,0.001484164332653748,0.0029800774790107454,0
2017-09-13,399300.SZ,3842.6061,3835.5493,3847.7841,3822.9441,3837.9341,4.672,0.1217,95410785.0,126254360.9,0.00121658124417934,-0.0017794466930212138,0.001838150341932021,0.0013466158797683647,0
2017-09-14,399300.SZ,3829.9554,3843.572,3854.4931,3820.0876,3842.6061,-12.6507,-0.3292,115358583.0,143111639.1,-0.00329765006488714,2.195872133903265e-05,-0.0035489843411724564,0.006386348583991008,0
2017-09-15,399300.SZ,3831.2965,3826.1448,3843.297,3818.5234,3829.9554,1.3411,0.035,122427006.0,153477215.1,0.000350099443590324,0.0013861310259866144,0.0013455410431308934,0.0031273343091395844,0
2017-09-18,399300.SZ,3843.1428,3832.9626,3862.3589,3832.9626,3831.2965,11.8463,0.3092,117934405.0,152841028.4,0.00308721170256554,0.004563310430677703,0.002652440381684329,0.004987641449970326,0
2017-09-19,399300.SZ,3832.1161,3849.8794,3857.303,3820.2885,3843.1428,-11.0267,-0.2869,112432987.0,145528457.5,-0.00287331221785792,-0.0015170698924098502,-0.004624665989306109,0.0065510774612302924,0
2017-09-20,399300.SZ,3842.4353,3830.1549,3850.9426,3827.8858,3832.1161,10.3192,0.2693,101129542.0,135041882.3,0.00268920114832305,-4.444998826613755e-05,0.003201112053805133,0.002211591209507091,0
2017-09-21,399300.SZ,3837.8176,3843.2577,3860.7977,3837.384,3842.4353,-4.6177,-0.1202,111098192.0,144132893.2,-0.00120248658906164,0.0020507134875593636,-0.0014164946175210247,0.00596994845330201,0
2017-09-22,399300.SZ,3837.7304,3826.4589,3842.252,3816.8225,3837.8176,-0.0872,-0.0023,100619802.0,128360894.8,-2.27215047061691e-05,0.0016778925392628707,0.002941343874761415,0.0011775028344960248,0
2017-09-25,399300.SZ,3817.7915,3829.219,3835.3894,3811.1192,3837.7304,-19.9389,-0.5195,103948976.0,135980239.1,-0.00520903612992107,-0.006618355293223743,-0.002988751880613094,0.004598854057007884,0
2017-09-26,399300.SZ,3820.7816,3810.3333,3821.6928,3808.3827,3817.7915,2.9901,0.0783,81869407.0,101036334.8,0.000782894950033253,-0.0029621481253325754,0.0027383433917123057,0.00023845680250289547,0
2017-09-27,399300.SZ,3821.2,3818.9646,3832.566,3818.8147,3820.7816,0.4184,0.011,85655811.0,109299492.2,0.00010950039461477,-0.005541848879040856,0.0005851706555617397,0.00297004333686246,0
2017-09-28,399300.SZ,3822.5386,3821.5904,3827.3308,3813.7532,3821.2,1.3386,0.035,93544069.0,115646338.5,0.000350247459714126,-0.003989114830265095,0.00024808581981439204,0.0012528842980934485,0
2017-09-29,399300.SZ,3836.5013,3825.2021,3852.2236,3825.2021,3822.5386,13.9627,0.3653,93306028.0,116056776.5,0.00364607461260924,-0.0003203187129496854,0.0029495290020378206,0.004089708532525549,0
2017-10-09,399300.SZ,3882.2076,3910.1149,3918.8391,3876.0322,3836.5013,45.7063,1.1914,135535851.0,171941460.8,0.0118431294197752,0.016731846836746556,-0.007162798848952434,0.009391501076905229,0
2017-10-10,399300.SZ,3889.8637,3883.0037,3900.7418,3855.4666,3882.2076,7.6561,0.1972,112532586.0,157979737.6,0.00197015755026264,0.017919109436975944,0.0017651148355106727,0.002792621721026123,0
2017-10-11,399300.SZ,3902.6868,3886.8184,3913.0695,3885.497,3889.8637,12.8231,0.3297,104418151.0,144152740.0,0.00329112055787739,0.021100729600238566,0.004074308070622479,0.0026568653650489438,0
2017-10-12,399300.SZ,3912.9536,3902.0156,3917.4435,3897.5472,3902.6868,10.2668,0.2631,94340921.0,123147248.6,0.00262724623448207,0.023377728375006512,0.0027992451057397005,0.0011467874322903526,0
2017-10-13,399300.SZ,3921.0017,3912.975,3927.1744,3908.8885,3912.9536,8.0481,0.2057,90142068.0,114314854.7,0.00205467162452955,0.02178632538692682,0.002049202624977653,0.0015730282282575558,0
2017-10-16,399300.SZ,3913.4462,3926.2754,3947.4239,3913.3224,3921.0017,-7.5555,-0.1927,121355033.0,150823756.5,-0.00192878998974422,0.008014405977407435,-0.0032728742438710157,0.008644822054547419,0
2017-10-17,399300.SZ,3913.0688,3910.7894,3924.6141,3900.4758,3913.4462,-0.3774,-0.0096,82241227.0,106708451.6,-9.64413919337659e-05,0.005947807035211028,0.0005826792884597864,0.0029461024381678413,0
2017-10-18,399300.SZ,3944.1626,3914.8152,3944.4106,3914.8152,3913.0688,31.0938,0.7946,100969841.0,126420379.6,0.00791473757981009,0.01057142405714373,0.007468537807566733,6.2875755551417e-05,0
2017-10-19,399300.SZ,3931.2495,3940.5831,3944.0349,3923.6455,3944.1626,-12.9131,-0.3274,106527252.0,133189855.1,-0.00327934879050318,0.0046648290321584795,-0.002371393002935207,0.0032469713050229387,0
2017-10-20,399300.SZ,3926.852,3918.5265,3928.9607,3910.1974,3931.2495,-4.3975,-0.1119,72980180.0,94529636.6,-0.00111922719731972,0.001490930210309216,0.0021223968034771445,0.0005368508978431663,0
2017-10-23,399300.SZ,3930.7981,3930.8914,3936.2729,3920.6562,3926.852,3.9461,0.1005,81484980.0,100280911.3,0.00100439706057642,0.004424117260629856,-2.3735356123211204e-05,0.0013918269922328363,0
2017-10-24,399300.SZ,3959.3953,3926.2299,3959.4951,3922.0288,3930.7981,28.5972,0.7275,93058154.0,120192150.5,0.00724882744219357,0.011769386094757195,0.008411659117161463,2.5205551526852332e-05,0
2017-10-25,399300.SZ,3976.949,3958.1669,3978.0893,3954.0011,3959.3953,17.5537,0.4433,88205458.0,106820309.5,0.00442363082079744,0.008278279335744543,0.004733928354008654,0.0002866862395389802,6
2017-10-26,399300.SZ,3993.5752,3980.0479,4013.5988,3973.5535,3976.949,16.6262,0.4181,129895465.0,170488618.5,0.00417192739089423,0.015729555517141947,0.0033930153979344624,0.005001425406668147,6
2017-10-27,399300.SZ,4021.9676,3992.5539,4024.4645,3991.354,3993.5752,28.3924,0.711,126672846.0,152974831.0,0.00708436582659111,0.023933148541052773,0.007340134295340306,0.00062062291686793,6
2017-10-30,399300.SZ,4009.7218,4022.1641,4033.3394,3960.2698,4021.9676,-12.2458,-0.3045,157387603.0,193489838.4,-0.00304937327111965,0.019879378209356702,-0.003098228761647448,0.005872805712476392,6
2017-10-31,399300.SZ,4006.7179,3995.3935,4009.2828,3983.2565,4009.7218,-3.0039,-0.0749,109178779.0,142897206.9,-0.000749434974380847,0.011881115792782282,0.0028303548885588725,0.0006399450757381686,6
2017-11-01,399300.SZ,3996.6221,4007.9116,4032.4581,3991.3235,4006.7179,-10.0958,-0.252,130417380.0,166477138.5,-0.00252289802882011,0.0049345869431647316,-0.002820778301096283,0.008926611036670806,6
2017-11-02,399300.SZ,3997.1343,3994.0946,3999.2262,3971.3761,3996.6221,0.5122,0.0128,126100579.0,151981363.6,0.000128150014854,0.0008908095671245064,0.0007607591234446431,0.0005232130411627622,6
2017-11-03,399300.SZ,3992.6979,3992.3496,3999.3373,3963.0263,3997.1343,-4.4364,-0.111,129404439.0,158142056.5,-0.00111051154639519,-0.007304067805861791,8.72380534282513e-05,0.0016615045758037184,6
2017-11-06,399300.SZ,4020.8896,3989.1824,4021.6382,3975.4069,3992.6979,28.1917,0.7061,122081159.0,158911861.1,0.00703600386299819,0.002781309328256043,0.007916874057784185,0.00018616037663221618,6
